nounId,nominative,genitive,transformationType,isSlender,syllableCount,nomSuffix,genSuffix,has ea
5200,"caróg","caróige","palatalized alt + e",false,2,"óg","óige","no"
5214,"carraig","carraige","+e",true,2,"g","ge","no"
5226,"carrchuil","carrchuile","+e",true,2,"l","le","no"
5242,"cartlann","cartlainne","palatalized alt + e",false,2,"ann","ainne","no"
5253,"casachtach","casachtaí","aí",false,3,"ach","aí","no"
5260,"casaoid","casaoide","+e",true,2,"d","de","no"
5263,"casarnach","casarnaí","aí",false,3,"ach","aí","no"
5269,"caschaint","caschainte","+e",true,2,"t","te","no"
5285,"casnóg","casnóige","palatalized alt + e",false,2,"óg","óige","no"
5286,"casóg","casóige","palatalized alt + e",false,2,"óg","óige","no"
5290,"castainn","castainne","+e",true,2,"n","ne","no"
5307,"catagóir","catagóire","+e",true,3,"r","re","no"
5313,"catalóg","catalóige","palatalized alt + e",false,3,"óg","óige","no"
5349,"catóid","catóide","+e",true,2,"d","de","no"
5351,"catsúil","catsúile","+e",true,2,"l","le","no"
5357,"cábóg","cábóige","palatalized alt + e",false,2,"óg","óige","no"
5374,"cáil","cáile","+e",true,1,"l","le","no"
5379,"cáim","cáime","+e",true,1,"m","me","no"
5380,"cáimric","cáimrice","+e",true,2,"c","ce","no"
5382,"cáinaisnéis","cáinaisnéise","+e",true,3,"s","se","no"
5392,"cáipéis","cáipéise","+e",true,2,"s","se","no"
5394,"cáiréis","cáiréise","+e",true,2,"s","se","no"
5397,"cáis","cáise","+e",true,1,"s","se","no"
5407,"cáithleach","cáithlí","í",false,2,"leach","lí","yes"
5414,"cálráib","cálráibe","+e",true,2,"b","be","no"
